news_headline,news_article,news_category,full_text,clean_text
I've only been given 2 bananas that had flies on it: Kanika on hospital conditions,"Kanika Kapoor, who's in the Isolation Corona Ward at Sanjay Gandhi Post Graduate Institute of Medical Sciences in Lucknow, has said she feels ""miserable"" over there. ""I am so hungry...I've been asking...to give me something...but I've only been given two small bananas and...orange that had flies on it,"" she said. ""I've fever...but no one has attended to me,"" she added.",entertainment,"I've only been given 2 bananas that had flies on it: Kanika on hospital conditions. Kanika Kapoor, who's in the Isolation Corona Ward at Sanjay Gandhi Post Graduate Institute of Medical Sciences in Lucknow, has said she feels ""miserable"" over there. ""I am so hungry...I've been asking...to give me something...but I've only been given two small bananas and...orange that had flies on it,"" she said. ""I've fever...but no one has attended to me,"" she added.",give banana fly kanika hospital condition kanika kapoor isolation corona ward sanjay gandhi post graduate institute medical sciences lucknow say feel miserable hungry ask give something give two small banana orange fly say fever no one attend add
"BJP MP who met coronavirus +ve Kanika Kapoor later dined with Prez, Union Ministers","BJP MP Dushyant Singh attended a breakfast hosted by President Ram Nath Kovind on March 18, two days after attending a party with singer Kanika Kapoor who has tested positive for coronavirus. At the Rashtrapati Bhavan, he met several MPs and Union Ministers like Smriti Irani. Singh, who's currently in self-quarantine, had also shared a picture after attending the breakfast.",entertainment,"BJP MP who met coronavirus +ve Kanika Kapoor later dined with Prez, Union Ministers. BJP MP Dushyant Singh attended a breakfast hosted by President Ram Nath Kovind on March 18, two days after attending a party with singer Kanika Kapoor who has tested positive for coronavirus. At the Rashtrapati Bhavan, he met several MPs and Union Ministers like Smriti Irani. Singh, who's currently in self-quarantine, had also shared a picture after attending the breakfast.",bjp mp meet coronavirus kanika kapoor later dine prez union minister bjp mp dushyant singh attend breakfast host president ram nath kovind march two day attend party singer kanika kapoor test positive coronavirus rashtrapati bhavan meet several mps union minister like smriti irani singh currently self quarantine also share picture attend breakfast
Inheritance is distasteful: Daniel Craig on not leaving his fortune to children,"Daniel Craig has said he won't be leaving his fortune to his children because he believes ""inheritance is quite distasteful"". He added, ""My philosophy is to get rid of it or give it away before you go."" Daniel is a father to 28-year-old daughter Ella, who he shares with ex-wife Fiona Loudon and a child with current partner Rachel Weisz.",entertainment,"Inheritance is distasteful: Daniel Craig on not leaving his fortune to children. Daniel Craig has said he won't be leaving his fortune to his children because he believes ""inheritance is quite distasteful"". He added, ""My philosophy is to get rid of it or give it away before you go."" Daniel is a father to 28-year-old daughter Ella, who he shares with ex-wife Fiona Loudon and a child with current partner Rachel Weisz.",inheritance distasteful daniel craig not leave fortune child daniel craig say not leave fortune child believe inheritance quite distasteful add philosophy get rid give away go daniel father year old daughter ella share ex wife fiona loudon child current partner rachel weisz
"Sonam says India was not self-isolating when Kanika came, criticised","Sonam Kapoor has come out in support of Kanika Kapoor who was criticised for not self-isolating herself after she returned from London. ""Hey guys, Kanika came back on 9th. India was not self-isolating but playing Holi,"" Sonam wrote. Criticising her, a user wrote, ""Stop normalising and generalising things,"" while another wrote, ""At least she should have taken some precaution.""",entertainment,"Sonam says India was not self-isolating when Kanika came, criticised. Sonam Kapoor has come out in support of Kanika Kapoor who was criticised for not self-isolating herself after she returned from London. ""Hey guys, Kanika came back on 9th. India was not self-isolating but playing Holi,"" Sonam wrote. Criticising her, a user wrote, ""Stop normalising and generalising things,"" while another wrote, ""At least she should have taken some precaution.""",sonam say india not self isolating kanika come criticise sonam kapoor come support kanika kapoor criticise not self isolate return london hey guy kanika come back th india not self isolate play holi sonam write criticise user write stop normalise generalise thing another write least take precaution
"Raveena cleans train seats with sanitiser, says 'travel only if necessary'","Raveena Tandon on Friday took to Instagram to share a video wherein she can be seen cleaning the train seats with wet wipes and sanitiser amid coronavirus pandemic. ""Better to be safe than sorry. Travel only if very necessary...please take precautions and safety of oneself and...others around you is paramount,"" she wrote. She had travelled last week for a project.",entertainment,"Raveena cleans train seats with sanitiser, says 'travel only if necessary'. Raveena Tandon on Friday took to Instagram to share a video wherein she can be seen cleaning the train seats with wet wipes and sanitiser amid coronavirus pandemic. ""Better to be safe than sorry. Travel only if very necessary...please take precautions and safety of oneself and...others around you is paramount,"" she wrote. She had travelled last week for a project.",raveena cleans train seat sanitiser say travel necessary raveena tandon friday take instagram share video wherein see clean train seat wet wipe sanitiser amid coronavirus pandemic well safe sorry travel necessary please take precaution safety oneself around paramount write travel last week project
"Didn't hide in airport toilet to skip screening, got no quarantine advisory: Kanika","Singer Kanika Kapoor, who's infected with coronavirus, has said, ""There are...rumours that I hid in the washroom to skip screening...I was properly screened at Mumbai airport."" She added she had no health issues then. Stating she reached Lucknow on March 11, Kapoor said at that time there was no government advisory ""on anyone travelling from abroad to be under self-quarantine"".",entertainment,"Didn't hide in airport toilet to skip screening, got no quarantine advisory: Kanika. Singer Kanika Kapoor, who's infected with coronavirus, has said, ""There are...rumours that I hid in the washroom to skip screening...I was properly screened at Mumbai airport."" She added she had no health issues then. Stating she reached Lucknow on March 11, Kapoor said at that time there was no government advisory ""on anyone travelling from abroad to be under self-quarantine"".",not hide airport toilet skip screening get no quarantine advisory kanika singer kanika kapoor infect coronavirus say rumour hide washroom skip screening properly screen mumbai airport add no health issue state reach lucknow march kapoor say time no government advisory anyone travel abroad self quarantine
"Vasundhara Raje, who attended party with Kanika, tests negative for coronavirus","Former Rajasthan Chief Minister Vasundhara Raje, who had attended a party with coronavirus positive singer Kanika Kapoor, has tested negative for the virus. ""However, as a preventive measure, my son and I will continue to be in isolation for 15 days,"" she tweeted. ""A lot of you checked up on me and I appreciate your concern,"" she added.",entertainment,"Vasundhara Raje, who attended party with Kanika, tests negative for coronavirus. Former Rajasthan Chief Minister Vasundhara Raje, who had attended a party with coronavirus positive singer Kanika Kapoor, has tested negative for the virus. ""However, as a preventive measure, my son and I will continue to be in isolation for 15 days,"" she tweeted. ""A lot of you checked up on me and I appreciate your concern,"" she added.",vasundhara raje attend party kanika test negative coronavirus former rajasthan chief minister vasundhara raje attend party coronavirus positive singer kanika kapoor test negative virus however preventive measure son continue isolation day tweet lot check appreciate concern add
"TV show host Andy Cohen tests +ve for COVID-19, urges people to stay home","American TV show host Andy Cohen has revealed he got himself tested ""after a few days of self-quarantine and not feeling great"" and his coronavirus test results came back positive. Cohen further postponed taping of 'Watch What Happens Live' at his home so he can ""focus on getting better"". ""I urge everybody to stay home and take care,"" Cohen said.",entertainment,"TV show host Andy Cohen tests +ve for COVID-19, urges people to stay home. American TV show host Andy Cohen has revealed he got himself tested ""after a few days of self-quarantine and not feeling great"" and his coronavirus test results came back positive. Cohen further postponed taping of 'Watch What Happens Live' at his home so he can ""focus on getting better"". ""I urge everybody to stay home and take care,"" Cohen said.",tv show host andy cohen test covid urge people stay home american tv show host andy cohen reveal get test day self quarantine not feel great coronavirus test result come back positive cohen postpone taping watch happen live home focus get well urge everybody stay home take care cohen say
"Ekta does safe hands challenge amid coronavirus, trolled for wearing jewellery","Producer Ekta Kapoor was trolled online for wearing jewellery on her hands while doing safe hands challenge amid coronavirus pandemic. A user wrote, ""There is no point to wear so much of jewellery...your jewellery will...carry a lot of micro infecting agents,"" while another wrote, ""What the hell she is doing? At least remove your bracelets and then wash your hands.""",entertainment,"Ekta does safe hands challenge amid coronavirus, trolled for wearing jewellery. Producer Ekta Kapoor was trolled online for wearing jewellery on her hands while doing safe hands challenge amid coronavirus pandemic. A user wrote, ""There is no point to wear so much of jewellery...your jewellery will...carry a lot of micro infecting agents,"" while another wrote, ""What the hell she is doing? At least remove your bracelets and then wash your hands.""",ekta safe hand challenge amid coronavirus troll wear jewellery producer ekta kapoor troll online wear jewellery hand safe hand challenge amid coronavirus pandemic user write no point wear much jewellery jewellery carry lot micro infect agent another write hell least remove bracelet wash hand
Anil sings 'childhood time song' to Anupam who's in self-quarantine,"Anil Kapoor tweeted a video wherein he can be seen talking to Anupam Kher who's standing in his balcony amid coronavirus pandemic. In the video, Anil sings, 'Tere ghar ke saamne, ek ghar banaunga' for Anupam, who's in self-quarantine following his return to Mumbai from New York. Sharing the video, Anupam wrote, ""Thank you for singing our childhood time song.""",entertainment,"Anil sings 'childhood time song' to Anupam who's in self-quarantine. Anil Kapoor tweeted a video wherein he can be seen talking to Anupam Kher who's standing in his balcony amid coronavirus pandemic. In the video, Anil sings, 'Tere ghar ke saamne, ek ghar banaunga' for Anupam, who's in self-quarantine following his return to Mumbai from New York. Sharing the video, Anupam wrote, ""Thank you for singing our childhood time song.""",anil sings childhood time song anupam self quarantine anil kapoor tweet video wherein see talk anupam kher stand balcony amid coronavirus pandemic video anil sings tere ghar ke saamne ek ghar banaunga anupam self quarantine follow return mumbai new york share video anupam write thank singe childhood time song
